,name,feat,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
0,Boat,,subtract,5/05/2023,1,6jemILri7l5LuPhKs2nuXr,spotify:track:6jemILri7l5LuPhKs2nuXr,0.758,0.47,0.203,2.41E-06,0.312,-8.676,0.0371,153.578,0.325,72,185675
1,Salt Water,,subtract,5/05/2023,2,6UIcjH0BzH2MKvToeEYIOZ,spotify:track:6UIcjH0BzH2MKvToeEYIOZ,0.617,0.584,0.374,2.86E-06,0.0694,-9.224,0.0337,147.084,0.279,68,239770
2,Eyes Closed,,subtract,5/05/2023,3,3p7XQpdt8Dr6oMXSvRZ9bg,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,0.246,0.793,0.52,0,0.0878,-7.457,0.0696,107.014,0.309,86,194848
3,Life Goes On,,subtract,5/05/2023,4,74eJR4gwG1ZmG4BFkbrOlA,spotify:track:74eJR4gwG1ZmG4BFkbrOlA,0.813,0.629,0.312,0,0.169,-7.609,0.0318,77.044,0.456,70,210208
4,Dusty,,subtract,5/05/2023,5,4u4A4lPpiw54evLxTaLeRJ,spotify:track:4u4A4lPpiw54evLxTaLeRJ,0.226,0.711,0.55,0.00928,0.12,-9.682,0.0332,146.928,0.616,66,222957
5,End Of Youth,,subtract,5/05/2023,6,0vber253Le8WWt7gKorVe9,spotify:track:0vber253Le8WWt7gKorVe9,0.488,0.663,0.436,0,0.116,-7.81,0.0359,143.197,0.316,70,231040
6,Colourblind,,subtract,5/05/2023,7,290x9rCh2EWcJ9YKpfiI9z,spotify:track:290x9rCh2EWcJ9YKpfiI9z,0.85,0.428,0.296,3.63E-06,0.0767,-8.731,0.0396,169.744,0.156,67,209267
7,Curtains,,subtract,5/05/2023,8,6ZZf5a8oiInHDkBe9zXfLP,spotify:track:6ZZf5a8oiInHDkBe9zXfLP,0.0989,0.5,0.757,2.50E-06,0.324,-6.542,0.0522,175.944,0.443,76,224803
8,Borderline,,subtract,5/05/2023,9,0bCnvkP7PYCJV64sQLl5mm,spotify:track:0bCnvkP7PYCJV64sQLl5mm,0.941,0.51,0.316,2.50E-05,0.0936,-10.001,0.0289,139.917,0.226,65,237756
9,Spark,,subtract,5/05/2023,10,26J3f0d3ZuN7g66xBdey8o,spotify:track:26J3f0d3ZuN7g66xBdey8o,0.776,0.56,0.616,0.000334,0.0901,-7.523,0.032,172.031,0.399,65,214846
10,Vega,,subtract,5/05/2023,11,1DSwFkEe28GSFmdIK92OFX,spotify:track:1DSwFkEe28GSFmdIK92OFX,0.803,0.743,0.405,0,0.134,-7.901,0.0416,124.041,0.353,67,178114
11,Sycamore,,subtract,5/05/2023,12,3qwxZ8ygOYSWE790KcfgU1,spotify:track:3qwxZ8ygOYSWE790KcfgU1,0.727,0.592,0.32,0,0.259,-8.069,0.0331,134.085,0.35,65,170075
12,No Strings,,subtract,5/05/2023,13,09UTOp33EhOSWzvGL0YOws,spotify:track:09UTOp33EhOSWzvGL0YOws,0.829,0.644,0.345,0,0.12,-6.433,0.0268,80.957,0.252,64,174087
13,The Hills of Aberfeldy,,subtract,5/05/2023,14,1eYafSv4c2aFNf98hSFHX0,spotify:track:1eYafSv4c2aFNf98hSFHX0,0.872,0.436,0.19,0,0.0971,-7.693,0.0303,79.571,0.326,67,195083
14,Wildflowers - Bonus Track,,subtract,5/05/2023,15,75To9uF11PYY0vAkXnDWvW,spotify:track:75To9uF11PYY0vAkXnDWvW,0.86,0.764,0.233,0.00185,0.0939,-9.099,0.0302,131.982,0.155,63,178206
15,Stoned - Bonus Track,,subtract,5/05/2023,16,5M12X6gQDoMMqqlRDg5Bfo,spotify:track:5M12X6gQDoMMqqlRDg5Bfo,0.76,0.695,0.322,0,0.0895,-7.145,0.03,119.937,0.4,62,197098
16,Toughest - Bonus Track,,subtract,5/05/2023,17,0C1dOJr5ae2tJSUGxMXTcC,spotify:track:0C1dOJr5ae2tJSUGxMXTcC,0.562,0.623,0.547,0,0.129,-7.077,0.0342,133.297,0.484,61,213768
17,Moving - Bonus Track,,subtract,5/05/2023,18,0Himk13I9FPFVwSyPhU3WD,spotify:track:0Himk13I9FPFVwSyPhU3WD,0.763,0.611,0.394,0,0.153,-6.786,0.0306,74.998,0.728,61,215247
32,Afterglow,,equals,27/05/2022,15,6njJ4ksycB4y35rh8T03Kb,spotify:track:6njJ4ksycB4y35rh8T03Kb,0.698,0.641,0.324,0,0.328,-5.851,0.0299,110.184,0.273,42,185486
42,Tides,,equals,29/10/2021,1,2JiHR4gCDjXwYVRDmwdk95,spotify:track:2JiHR4gCDjXwYVRDmwdk95,0.0167,0.631,0.825,0,0.122,-3.971,0.0433,129.942,0.427,64,195760
43,Shivers,,equals,29/10/2021,2,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,0.822,87,207853
44,First Times,,equals,29/10/2021,3,5QYnNhTKsN3kE7OaqILA1U,spotify:track:5QYnNhTKsN3kE7OaqILA1U,0.84,0.587,0.267,0,0.121,-9.206,0.0349,98.845,0.352,68,185853
45,Bad Habits,,equals,29/10/2021,4,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,0.0451,0.807,0.893,2.79E-05,0.366,-3.745,0.0347,126.011,0.537,86,230746
46,Overpass Graffiti,,equals,29/10/2021,5,4btFHqumCO31GksfuBLLv3,spotify:track:4btFHqumCO31GksfuBLLv3,0.00253,0.52,0.849,0,0.119,-3.794,0.186,175.908,0.774,75,236906
47,The Joker And The Queen,,equals,29/10/2021,6,3NuLxTXowTRcguTh9RsPmM,spotify:track:3NuLxTXowTRcguTh9RsPmM,0.952,0.567,0.211,5.24E-05,0.275,-9.975,0.0315,134.019,0.289,59,185586
48,Leave Your Life,,equals,29/10/2021,7,0YbI9lWxUBsCJLb6EBydkr,spotify:track:0YbI9lWxUBsCJLb6EBydkr,0.236,0.578,0.558,0,0.143,-5.438,0.0872,75.087,0.54,60,223866
49,Collide,,equals,29/10/2021,8,5sv0WnUs74Orn6GoPmC5im,spotify:track:5sv0WnUs74Orn6GoPmC5im,0.113,0.672,0.73,0,0.0612,-4.77,0.0372,123.969,0.559,62,210213
50,2step,,equals,29/10/2021,9,2SUxn2O9NHL6GHGQFgwCY0,spotify:track:2SUxn2O9NHL6GHGQFgwCY0,0.169,0.763,0.661,0,0.117,-5.592,0.056,95.002,0.632,72,153626
51,Stop The Rain,,equals,29/10/2021,10,0VuDtcT7H4CAljLZEH021x,spotify:track:0VuDtcT7H4CAljLZEH021x,0.0122,0.686,0.765,0,0.127,-4.778,0.118,99.998,0.743,60,203493
52,Love In Slow Motion,,equals,29/10/2021,11,1i4F583d9v9RabcfOlKKVL,spotify:track:1i4F583d9v9RabcfOlKKVL,0.668,0.485,0.54,0,0.0849,-5.4,0.0253,62.631,0.426,62,190933
53,Visiting Hours,,equals,29/10/2021,12,0rt63HYAAIzUZo5O2D0uA6,spotify:track:0rt63HYAAIzUZo5O2D0uA6,0.77,0.471,0.396,0,0.0729,-6.654,0.0336,149.609,0.263,71,215506
54,Sandman,,equals,29/10/2021,13,2Ldb2ytuC9AxhpAkVEJBI6,spotify:track:2Ldb2ytuC9AxhpAkVEJBI6,0.882,0.822,0.3,9.15E-05,0.0665,-8.034,0.0673,125.951,0.734,58,259333
55,Be Right Now,,equals,29/10/2021,14,3BiiSLo0wyHAY7lpCEO6ge,spotify:track:3BiiSLo0wyHAY7lpCEO6ge,0.00494,0.501,0.684,0.000478,0.0524,-6.706,0.0566,131.952,0.442,57,211080
70,Beautiful People,Khalid,No.6 Collaborations Project,12/07/2019,1,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,0.124,0.64,0.647,0,0.0801,-8.114,0.186,92.979,0.546,76,197866
71,South of the Border,Camila Cabello & Cardi B,No.6 Collaborations Project,12/07/2019,2,4vUmTMuQqjdnvlZmAH61Qk,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,0.148,0.857,0.621,0,0.0865,-6.376,0.0825,97.989,0.668,76,204466
72,Cross Me,Chance the Rapper & PnB Rock,No.6 Collaborations Project,12/07/2019,3,4wuCQX7JvAZLlrcmH4AeZF,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,0.212,0.746,0.787,0,0.0669,-6.373,0.12,95.005,0.607,62,206186
73,Take Me Back to London,Stormzy,No.6 Collaborations Project,12/07/2019,4,1AI7UPw3fgwAFkvAlZWhE0,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,0.219,0.885,0.762,0,0.162,-5.513,0.216,138.058,0.605,66,189733
74,Best Part of Me,YEBBA,No.6 Collaborations Project,12/07/2019,5,0VsGaRXR5WAzpu51unJTis,spotify:track:0VsGaRXR5WAzpu51unJTis,0.758,0.565,0.243,8.82E-06,0.285,-8.367,0.0317,81.655,0.239,65,243266
75,I Don't Care,Justin Bieber,No.6 Collaborations Project,12/07/2019,6,0hVXuCcriWRGvwMV1r5Yn9,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,0.0902,0.798,0.676,0,0.0894,-5.041,0.0442,101.956,0.843,71,219946
76,Antisocial,Travis Scott,No.6 Collaborations Project,12/07/2019,7,1DhRbox3xkceP64k3JeYfW,spotify:track:1DhRbox3xkceP64k3JeYfW,0.132,0.716,0.823,0,0.361,-5.313,0.0495,151.957,0.91,65,161746
77,Remember The Name,Eminem & 50 Cent,No.6 Collaborations Project,12/07/2019,8,0AtP8EkGPn6SwxKDaUuXec,spotify:track:0AtP8EkGPn6SwxKDaUuXec,0.135,0.852,0.666,0,0.798,-6.923,0.184,91.046,0.726,69,207760
78,Feels,Young Thug & J Hus,No.6 Collaborations Project,12/07/2019,9,1Bdptrvb7nQkq8kCw3siE9,spotify:track:1Bdptrvb7nQkq8kCw3siE9,0.112,0.665,0.68,0,0.096,-4.898,0.291,91.667,0.69,53,150786
79,Put It All on Me,Ella Mai,No.6 Collaborations Project,12/07/2019,10,5T03itPFOPGGkvVPvPiyla,spotify:track:5T03itPFOPGGkvVPvPiyla,0.256,0.627,0.594,0,0.373,-8.306,0.0479,101.007,0.388,65,197093
80,Nothing On You,Paulo Londra & Dave,No.6 Collaborations Project,12/07/2019,11,2qRN7PWiHRLprw4FpDeI9N,spotify:track:2qRN7PWiHRLprw4FpDeI9N,0.333,0.747,0.649,0,0.172,-6.218,0.218,88.011,0.84,59,200733
81,I Don't Want Your Money,H.E.R.,No.6 Collaborations Project,12/07/2019,12,3FHXUqaUer9o231Je1zxIN,spotify:track:3FHXUqaUer9o231Je1zxIN,0.31,0.468,0.63,0,0.137,-6.536,0.0843,91.419,0.762,54,204506
82,1000 Nights,Meek Mill & A Boogie Wit da Hoodie,No.6 Collaborations Project,12/07/2019,13,4vIKzWqtn44umal5jXq4wE,spotify:track:4vIKzWqtn44umal5jXq4wE,0.467,0.778,0.589,0,0.0902,-5.548,0.269,98.001,0.513,54,212306
83,Way To Break My Heart,Skrillex,No.6 Collaborations Project,12/07/2019,14,5d1rmWWF1725tnYjq6rMDB,spotify:track:5d1rmWWF1725tnYjq6rMDB,0.11,0.726,0.731,3.45E-06,0.0928,-6.298,0.159,170.125,0.437,55,190293
84,BLOW,Chris Stapleton & Bruno Mars,No.6 Collaborations Project,12/07/2019,15,7hvO2qCwJVZxiyoA7c9i5d,spotify:track:7hvO2qCwJVZxiyoA7c9i5d,0.000245,0.631,0.796,0.0108,0.38,-5.35,0.0401,92.47,0.596,59,209120
85,Eraser,,divide,3/03/2017,1,7oolFzHipTMg2nL7shhdz2,spotify:track:7oolFzHipTMg2nL7shhdz2,0.086,0.64,0.812,0,0.0509,-5.647,0.0834,86.013,0.914,60,227426
86,Castle on the Hill,,divide,3/03/2017,2,6PCUP3dWmTjcTtXY02oFdT,spotify:track:6PCUP3dWmTjcTtXY02oFdT,0.0232,0.461,0.834,1.14E-05,0.14,-4.868,0.0989,135.007,0.471,81,261153
87,Dive,,divide,3/03/2017,3,51ChrwmUPDJvedPQnIU8Ls,spotify:track:51ChrwmUPDJvedPQnIU8Ls,0.355,0.761,0.386,0,0.0953,-6.158,0.0399,134.943,0.526,74,238440
88,Shape of You,,divide,3/03/2017,4,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0,0.0931,-3.183,0.0802,95.977,0.931,89,233712
89,Perfect,,divide,3/03/2017,5,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,0.448,0,0.106,-6.312,0.0232,95.05,0.168,90,263400
90,Galway Girl,,divide,3/03/2017,6,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,0.0735,0.624,0.876,0,0.327,-3.374,0.1,99.943,0.781,81,170826
91,Happier,,divide,3/03/2017,7,2RttW7RAu5nOAfq6YFvApB,spotify:track:2RttW7RAu5nOAfq6YFvApB,0.536,0.522,0.385,0,0.135,-7.355,0.0288,89.792,0.236,80,207520
92,New Man,,divide,3/03/2017,8,5HDPtsnyb3maFmPL8LLUTG,spotify:track:5HDPtsnyb3maFmPL8LLUTG,0.0559,0.78,0.745,0,0.0595,-3.97,0.145,94.026,0.862,65,189280
93,Hearts Don't Break Around Here,,divide,3/03/2017,9,2dfHh7ECGxfNqZTQno09Vk,spotify:track:2dfHh7ECGxfNqZTQno09Vk,0.719,0.604,0.366,0,0.162,-7.881,0.0267,105.177,0.181,64,248413
94,What Do I Know?,,divide,3/03/2017,10,2pJZ1v8HezrAoZ0Fhzby92,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,0.251,0.838,0.492,0,0.262,-5.69,0.038,115.092,0.895,68,237333
95,How Would You Feel (Paean),,divide,3/03/2017,11,6PJ8FF6UR8FZXfEvpHkIVN,spotify:track:6PJ8FF6UR8FZXfEvpHkIVN,0.424,0.617,0.439,0,0.127,-5.63,0.0269,139.979,0.242,67,280533
96,Supermarket Flowers,,divide,3/03/2017,12,4VuS959DSpr82t3qBqCrWG,spotify:track:4VuS959DSpr82t3qBqCrWG,0.914,0.589,0.242,0,0.0887,-10.517,0.0442,89.749,0.257,76,221106
97,Barcelona,,divide,3/03/2017,13,3Lfiu5sZ4M4B6JaKMBc0FU,spotify:track:3Lfiu5sZ4M4B6JaKMBc0FU,0.448,0.747,0.76,0,0.153,-4.294,0.187,99.975,0.682,66,191146
98,Bibia Be Ye Ye,,divide,3/03/2017,14,6SznMYPQJHzr3IwsAHLId2,spotify:track:6SznMYPQJHzr3IwsAHLId2,0.52,0.738,0.677,0,0.133,-5.121,0.0824,127.067,0.882,63,176746
99,Nancy Mulligan,,divide,3/03/2017,15,35QZaWQRkmnAVqBF1TLCxQ,spotify:track:35QZaWQRkmnAVqBF1TLCxQ,0.117,0.68,0.852,0,0.0866,-4.35,0.0349,101.993,0.858,67,179786
100,Save Myself,,divide,3/03/2017,16,6TIU9Ehmi6dMzZK73Ym4yj,spotify:track:6TIU9Ehmi6dMzZK73Ym4yj,0.85,0.552,0.29,0,0.227,-5.617,0.0448,78.842,0.481,63,247106
124,"You Need Me, I Don't Need You",,five,23/06/2014,1,6x44NmhdsmgRzG07kzqOO6,spotify:track:6x44NmhdsmgRzG07kzqOO6,0.692,0.689,0.563,0,0.0579,-5.539,0.275,129.517,0.819,40,245040
125,So,,five,23/06/2014,2,24ha18yq0t7XnZ9EgJ7HYb,spotify:track:24ha18yq0t7XnZ9EgJ7HYb,0.853,0.521,0.133,0,0.35,-10.599,0.0431,140.077,0.391,43,268760
126,Be Like You,,five,23/06/2014,3,6ThrnYkLPlKar6dUIggR6Q,spotify:track:6ThrnYkLPlKar6dUIggR6Q,0.715,0.671,0.388,0,0.192,-6.516,0.0762,105.869,0.59,42,218373
127,The City,,five,23/06/2014,4,4oCmusomhJaDXUF9OttwQ5,spotify:track:4oCmusomhJaDXUF9OttwQ5,0.74,0.689,0.369,0,0.122,-7.183,0.357,102.565,0.701,37,266280
128,Sunburn,,five,23/06/2014,5,0Z0GZkW8QCohqGChLmWixd,spotify:track:0Z0GZkW8QCohqGChLmWixd,0.842,0.533,0.17,5.03E-06,0.113,-11.342,0.0668,116.852,0.33,41,266053
129,Let It Out,,five,23/06/2014,1,4Ur8TgNrZyUuRBWjsQfgGe,spotify:track:4Ur8TgNrZyUuRBWjsQfgGe,0.645,0.731,0.603,0.011,0.147,-7.656,0.0378,96.973,0.619,39,231546
130,Homeless,,five,23/06/2014,2,5YS8NjfOuoFP1vi5wglycc,spotify:track:5YS8NjfOuoFP1vi5wglycc,0.519,0.754,0.636,0,0.108,-7.129,0.193,90.001,0.875,38,210746
131,Little Bird,,five,23/06/2014,3,5DizlXTwJjjwxxqGNChcvO,spotify:track:5DizlXTwJjjwxxqGNChcvO,0.569,0.826,0.485,0,0.107,-7.424,0.0354,104.011,0.278,40,226066
132,Sofa,,five,23/06/2014,4,2Z7RLfJdXXkXUmvMJxkNJo,spotify:track:2Z7RLfJdXXkXUmvMJxkNJo,0.14,0.646,0.65,9.65E-06,0.0999,-6.491,0.0278,100.05,0.52,37,199133
133,One Night,,five,23/06/2014,5,1IbGB3FLPDJjBX5i3S57rA,spotify:track:1IbGB3FLPDJjBX5i3S57rA,0.379,0.781,0.836,0,0.289,-5.496,0.0658,94.989,0.636,38,206440
134,Firefly,,five,23/06/2014,6,7udHOd6OUjUIhSjpTo4cl4,spotify:track:7udHOd6OUjUIhSjpTo4cl4,0.886,0.602,0.31,0.000142,0.105,-11.469,0.0373,159.917,0.36,42,254999
135,The City - Live at Sticky Studios; Loose Change EP,,five,23/06/2014,7,7cCsAsOKvFdOjQHpADku4O,spotify:track:7cCsAsOKvFdOjQHpADku4O,0.507,0.712,0.569,0,0.412,-6.032,0.204,105.032,0.837,33,306320
136,Firefly - Bravado Dubstep Remix,,five,23/06/2014,8,0dQ5jI1SGoAX2QT6N95tad,spotify:track:0dQ5jI1SGoAX2QT6N95tad,0.28,0.629,0.663,0.711,0.0811,-10.516,0.0283,139.982,0.49,32,269186
137,Fall,,five,23/06/2014,1,5JTTFF4bKTIqrhRmmOgXXo,spotify:track:5JTTFF4bKTIqrhRmmOgXXo,0.632,0.559,0.283,0.00127,0.126,-9.827,0.0323,82.552,0.188,45,163272
138,Fire Alarms,,five,23/06/2014,2,4I7VRMbaqi6GdSkaSxe1he,spotify:track:4I7VRMbaqi6GdSkaSxe1he,0.772,0.602,0.286,0,0.162,-9.886,0.0296,102.009,0.379,40,144013
139,Where We Land,,five,23/06/2014,3,0xaPq2EZ9pQ9vLuxy6MCHH,spotify:track:0xaPq2EZ9pQ9vLuxy6MCHH,0.838,0.68,0.248,4.86E-06,0.0907,-11.592,0.031,119.944,0.275,43,183000
140,Cold Coffee,,five,23/06/2014,4,4THoSHxiabL1rd59iVWu2T,spotify:track:4THoSHxiabL1rd59iVWu2T,0.453,0.544,0.529,0,0.131,-6.753,0.0256,92.936,0.403,52,254226
141,She,,five,23/06/2014,5,3ICdPHubhqTJ4Lm9NEb2W3,spotify:track:3ICdPHubhqTJ4Lm9NEb2W3,0.811,0.573,0.344,0,0.13,-10.91,0.0361,157.783,0.377,46,244653
142,The A Team - Live at the Bedford,,five,23/06/2014,1,3nwbntyppUfLEMorPB40HN,spotify:track:3nwbntyppUfLEMorPB40HN,0.728,0.402,0.339,0,0.833,-9.574,0.0498,83.194,0.496,33,322933
143,Homeless - Live at the Bedford,,five,23/06/2014,2,0ewWskuCnqrTFvMUqtAQwF,spotify:track:0ewWskuCnqrTFvMUqtAQwF,0.62,0.601,0.879,0,0.464,-5.215,0.0945,99.377,0.713,31,225013
144,The City - Live at the Bedford,,five,23/06/2014,3,4HQcJua3wHJLvBvc3gKJTr,spotify:track:4HQcJua3wHJLvBvc3gKJTr,0.545,0.602,0.8,0,0.656,-5.91,0.0734,109.921,0.81,31,307760
145,Fall - Live at the Bedford,,five,23/06/2014,4,1lG7S133U7vKOXy0n8WeEL,spotify:track:1lG7S133U7vKOXy0n8WeEL,0.807,0.494,0.0964,7.13E-05,0.936,-16.691,0.0532,86.676,0.393,32,151173
146,Wake Me Up - Live at the Bedford,,five,23/06/2014,5,2c3PILT3ocB6B47pNzi9qs,spotify:track:2c3PILT3ocB6B47pNzi9qs,0.792,0.616,0.141,0,0.897,-17.161,0.532,107.874,0.361,32,300680
147,"You Need Me, I Don't Need You - Live at the Bedford",,five,23/06/2014,6,2GGOQWJo7FGEQojc7baekK,spotify:track:2GGOQWJo7FGEQojc7baekK,0.48,0.506,0.911,0,0.696,-4.779,0.23,105.475,0.781,34,590333
148,Lately (feat. Devlin),Devlin,five,23/06/2014,1,5cth8vxCckeYgE10nX58re,spotify:track:5cth8vxCckeYgE10nX58re,0.0928,0.718,0.82,0,0.391,-5.552,0.103,90.013,0.329,32,271333
149,You (feat. Wiley),Wiley,five,23/06/2014,2,6dSgNLxLDgTaPQlB15yOOK,spotify:track:6dSgNLxLDgTaPQlB15yOOK,0.386,0.799,0.532,0.00017,0.0978,-9.472,0.0707,100.032,0.189,32,201586
150,Family (feat. P Money),P Money,five,23/06/2014,3,77m6ySUV5ZpOdaIsygDYMZ,spotify:track:77m6ySUV5ZpOdaIsygDYMZ,0.515,0.476,0.704,0,0.094,-5.411,0.278,140.396,0.297,31,254906
151,Radio (feat. JME),JME,five,23/06/2014,4,3MUKlVjVJBvPf4flrDq8KB,spotify:track:3MUKlVjVJBvPf4flrDq8KB,0.214,0.693,0.833,0,0.117,-5.408,0.263,99.901,0.759,31,222653
152,Little Lady (feat. Mikill Pane),Mikill Pane,five,23/06/2014,5,7bXTXa2zmMuRZPCBEWcjHw,spotify:track:7bXTXa2zmMuRZPCBEWcjHw,0.731,0.437,0.5,0,0.157,-7.103,0.105,85.293,0.437,33,328653
153,Drown Me Out (feat. Ghetts) - + Ghetts,Ghetts,five,23/06/2014,6,0dNt7lZks5TVxiGaCIY1yZ,spotify:track:0dNt7lZks5TVxiGaCIY1yZ,0.0282,0.511,0.91,0,0.127,-6.186,0.116,140.147,0.426,30,261440
154,"Nightmares (feat. Random Impulse, Sway & Wretch 32)","Random Impulse, Sway & Wretch 32",five,23/06/2014,7,4SVST4FR6Gj74UJCzCiOSX,spotify:track:4SVST4FR6Gj74UJCzCiOSX,0.101,0.855,0.678,0.00232,0.0964,-6.864,0.052,120.012,0.429,31,243000
155,Goodbye to You (feat. Dot Rotten),Dot Rotten,five,23/06/2014,8,1O5u4AShfndSLCnVqlV0h2,spotify:track:1O5u4AShfndSLCnVqlV0h2,0.267,0.64,0.664,0,0.329,-7.812,0.152,140.007,0.275,31,330200
156,One,,multiply,21/06/2014,1,5TvFfDlVoUWZvfqrhTJzD7,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,0.877,0.464,0.321,0,0.0789,-11.12,0.0418,93.528,0.306,63,252760
157,I'm a Mess,,multiply,21/06/2014,2,0xCA70t1ZA4fa9UOE0lIJm,spotify:track:0xCA70t1ZA4fa9UOE0lIJm,0.556,0.697,0.377,0,0.0999,-7.755,0.0397,138.754,0.336,65,244573
158,Sing,,multiply,21/06/2014,3,6K8qKeWo5MsFED7wCR6Kop,spotify:track:6K8qKeWo5MsFED7wCR6Kop,0.304,0.818,0.67,1.22E-06,0.0601,-4.451,0.0472,119.988,0.939,72,235382
159,Don't,,multiply,21/06/2014,4,1huvTbEYtgltjQRXzrNKGi,spotify:track:1huvTbEYtgltjQRXzrNKGi,0.0113,0.806,0.608,0,0.635,-7.008,0.0659,95.049,0.849,74,219840
160,Nina,,multiply,21/06/2014,5,3GKSfF6c3Rv3a1knSjxnXa,spotify:track:3GKSfF6c3Rv3a1knSjxnXa,0.175,0.791,0.669,0,0.33,-7.189,0.146,92.013,0.809,57,225533
161,Photograph,,multiply,21/06/2014,6,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,0.379,0.000464,0.0986,-10.48,0.0476,107.989,0.201,87,258986
162,Bloodstream,,multiply,21/06/2014,7,5v4sZRuvWDcisoOk1PFv6T,spotify:track:5v4sZRuvWDcisoOk1PFv6T,0.529,0.66,0.316,0.000294,0.104,-11.567,0.0364,91.207,0.543,67,300253
163,Tenerife Sea,,multiply,21/06/2014,8,1HbcclMpw0q2WDWpdGCKdS,spotify:track:1HbcclMpw0q2WDWpdGCKdS,0.697,0.53,0.346,1.07E-05,0.105,-10.497,0.0376,121.876,0.359,69,241346
164,Runaway,,multiply,21/06/2014,9,2VmA7bm5ECiYZfw7x4Nzku,spotify:track:2VmA7bm5ECiYZfw7x4Nzku,0.024,0.767,0.449,0.000299,0.151,-7.158,0.0364,95.03,0.908,58,205133
165,The Man,,multiply,21/06/2014,10,1gHF0I223J5pv06SuBcmkz,spotify:track:1gHF0I223J5pv06SuBcmkz,0.576,0.759,0.725,0,0.0771,-7.006,0.158,87.467,0.619,54,250426
166,Thinking out Loud,,multiply,21/06/2014,11,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.474,0.781,0.445,0,0.184,-6.061,0.0295,78.998,0.591,85,281560
167,Afire Love,,multiply,21/06/2014,12,12B0Twa9kRz45Xw2PgXHJm,spotify:track:12B0Twa9kRz45Xw2PgXHJm,0.464,0.552,0.637,1.63E-05,0.136,-6.568,0.0445,97.97,0.333,59,314280
168,Take It Back,,multiply,21/06/2014,13,2dmOWlEHrP266Qgz6wnUrd,spotify:track:2dmOWlEHrP266Qgz6wnUrd,0.318,0.754,0.613,0,0.335,-6.342,0.229,113.196,0.904,54,208400
169,Shirtsleeves,,multiply,21/06/2014,14,7awwmuGslmuyhnlpFipDqk,spotify:track:7awwmuGslmuyhnlpFipDqk,0.319,0.752,0.76,0,0.335,-5.34,0.0341,107.034,0.752,53,190226
