song_name,album
Tides,=
BLOW,No.6 Collaborations Project
I'm a Mess,x
Shivers,=
The A Team,+
Castle on the Hill,/
2step,=
Don't,x
Give Me Love,+
Visiting Hours,=
Own It,No.6 Collaborations Project
Peru,No.6 Collaborations Project
Beautiful People,No.6 Collaborations Project
I Don't Care,No.6 Collaborations Project
Overpass Graffiti,=
Galway Girl,/
Thinking Out Loud,x
Love Yourself,Cover
Sing,x
Photograph,x
Perfect,/
Bloodstream,x
Afterglow,=
Shape of You,/
Bad Habits,=
"You Need Me, I Don't Need You",+
