Date,City,Country,Venue,Opening_Act_1,Opening_Act_2,Opening_Act_3,Attendance,Capacity, Revenue 
23-Apr,Dublin,Ireland,Croke Park,Maisie Peters,Denise Chaila,,"140,487","151,045"," $12,417,796.00 "
24-Apr,Dublin,Ireland,Croke Park,Maisie Peters,Denise Chaila,,"140,487","151,045"," $12,417,796.00 "
28-Apr,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters,Denise Chaila,,"68,697","78,645"," $5,846,380.00 "
29-Apr,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters,Denise Chaila,,"68,697","78,645"," $5,846,380.00 "
5-May,Limerick,Ireland,Thomond Park,Maisie Peters,Denise Chaila,,"61,780","63,234"," $5,199,401.00 "
6-May,Limerick,Ireland,Thomond Park,Maisie Peters,Denise Chaila,,"61,780","63,234"," $5,199,401.00 "
12-May,Belfast,Ireland,Boucher Road Playing Fields,Maisie Peters,Denise Chaila,,"73,519","80,604"," $6,335,895.00 "
13-May,Belfast,Ireland,Boucher Road Playing Fields,Maisie Peters,Denise Chaila,,"73,519","80,604"," $6,335,895.00 "
26-May,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","236,082"," $14,955,621.00 "
27-May,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","236,082"," $14,955,621.00 "
28-May,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","236,082"," $14,955,621.00 "
3-Jun,Sunderland,England,Stadium of Light,Maisie Peters,Dylan,,"106,641","114,311"," $8,892,176.00 "
4-Jun,Sunderland,England,Stadium of Light,Maisie Peters,Dylan,,"106,641","114,311"," $8,892,176.00 "
9-Jun,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639"," $18,049,095.00 "
10-Jun,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639"," $18,049,095.00 "
11-Jun,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639"," $18,049,095.00 "
12-Jun,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639"," $18,049,095.00 "
16-Jun,Glasgow,Scotland,Hampden Park,Maisie Peters,Dylan,,"93,344","109,713"," $7,486,863.00 "
17-Jun,Glasgow,Scotland,Hampden Park,Maisie Peters,Dylan,,"93,344","109,713"," $7,486,863.00 "
24-Jun,London,England,Wembley Stadium,Maisie Peters,Dylan,,"420,269","460,165"," $37,325,883.00 "
25-Jun,London,England,Wembley Stadium,Maisie Peters,Dylan,,"420,269","460,165"," $37,325,883.00 "
29-Jun,London,England,Wembley Stadium,Maisie Peters,Dylan,,"420,269","460,165"," $37,325,883.00 "
30-Jun,London,England,Wembley Stadium,Maisie Peters,Dylan,,"420,269","460,165"," $37,325,883.00 "
1-Jul,London,England,Wembley Stadium,Maisie Peters,Dylan,,"420,269","460,165"," $37,325,883.00 "
7-Jul,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055"," $13,726,449.00 "
8-Jul,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055"," $13,726,449.00 "
9-Jul,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055"," $13,726,449.00 "
14-Jul,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters,Cat Burns,,"134,119","134,119"," $8,638,213.00 "
15-Jul,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters,Cat Burns,,"134,119","134,119"," $8,638,213.00 "
22-Jul,Brussels,Belgium,King Baudouin Stadium,Maisie Peters,Cat Burns,Dylan,"104,473","127,999"," $8,273,105.00 "
23-Jul,Brussels,Belgium,King Baudouin Stadium,Maisie Peters,Cat Burns,Dylan,"104,473","127,999"," $8,273,105.00 "
29-Jul,Saint-Denis,France,Stade de France,Maisie Peters,Cat Burns,,"166,764","166,764"," $10,767,404.00 "
30-Jul,Saint-Denis,France,Stade de France,Maisie Peters,Cat Burns,,"166,764","166,764"," $10,767,404.00 "
3-Aug,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819"," $14,192,005.00 "
4-Aug,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819"," $14,192,005.00 "
5-Aug,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819"," $14,192,005.00 "
6-Aug,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Dylan,,"156,818","158,819"," $14,192,005.00 "
10-Aug,Gothenburg,Sweden,Ullevi,Maisie Peters,Cat Burns,,"120,283","129,350"," $9,513,270.00 "
11-Aug,Gothenburg,Sweden,Ullevi,Maisie Peters,Cat Burns,,"120,283","129,350"," $9,513,270.00 "
20-Aug,Helsinki,Finland,Helsinki Olympic Stadium,Maisie Peters,Cat Burns,,"46,667","46,667"," $4,229,589.00 "
