"Date..2023.","City","Country","Venue","Opening.acts","Attendance","Capacity","Revenue"
"2 February","Wellington","New Zealand","Sky Stadium","Maisie Peters Kaylee Bell","47,260","47,260","$5,024,421"
"10 February","Auckland","New Zealand","Eden Park","Maisie Peters Kaylee Bell","83,574","83,574","$7,461,871"
"11 February","Auckland","New Zealand","Eden Park","Maisie Peters Kaylee Bell","83,574","83,574","$7,461,871"
"17 February","Brisbane","Australia","Suncorp Stadium","Maisie Peters Budjerah","172,894","172,894","$19,213,071"
"18 February","Brisbane","Australia","Suncorp Stadium","Maisie Peters Budjerah","172,894","172,894","$19,213,071"
"19 February","Brisbane","Australia","Suncorp Stadium","Maisie Peters Budjerah","172,894","172,894","$19,213,071"
"24 February","Sydney","Australia","Accor Stadium","Maisie Peters Budjerah","171,699","171,699","$18,936,619"
"25 February","Sydney","Australia","Accor Stadium","Maisie Peters Budjerah","171,699","171,699","$18,936,619"
"2 March","Melbourne","Australia","Melbourne Cricket Ground","Maisie Peters Budjerah","210,857","210,857","$20,871,850"
"3 March","Melbourne","Australia","Melbourne Cricket Ground","Maisie Peters Budjerah","210,857","210,857","$20,871,850"
"7 March","Adelaide","Australia","Adelaide Oval","Maisie Peters Budjerah","59,708","59,708","$6,665,766"
"12 March","Perth","Australia","Optus Stadium","Maisie Peters Budjerah","59,980","59,980","$7,051,018"
"29 April[a]","New Orleans","United States","Fair Grounds Race Course","—","—",NA,"—"
"6 May","Arlington","United States","AT&T Stadium","KhalidDylan","59,265","59,265","$5,733,414"
"13 May","Houston","United States","NRG Stadium","KhalidDylan","58,183","58,183","$5,321,684"
"20 May","Tampa","United States","Raymond James Stadium","KhalidDylan","77,891","77,891","$7,759,215"
"27 May","Atlanta","United States","Mercedes-Benz Stadium","KhalidDylan","76,335","76,335","$7,100,499"
"3 June","Philadelphia","United States","Lincoln Financial Field","KhalidDylan","77,900","77,900","$7,767,923"
"10 June","East Rutherford","United States","MetLife Stadium","KhalidDylan","173,390","173,390","$18,007,052"
"11 June","East Rutherford","United States","MetLife Stadium","KhalidDylan","173,390","173,390","$18,007,052"
"17 June","Toronto","Canada","Rogers Centre","KhalidRosa Linn","93,683","93,683","$9,906,436"
"18 June","Toronto","Canada","Rogers Centre","KhalidRosa Linn","93,683","93,683","$9,906,436"
"24 June","Landover","United States","FedExField","Ed Sheeran[b]Rosa Linn","62,270","62,270","$6,002,528"
"30 June","Foxborough","United States","Gillette Stadium","Rosa LinnJohn Mayer","—",NA,"—"
"1 July","Foxborough","United States","Gillette Stadium","Rosa LinnLittle Big Town","—",NA,"—"
"8 July","Pittsburgh","United States","Acrisure Stadium","Rosa LinnKhalid","67,829","67,829","$5,823,055"
"15 July","Detroit","United States","Ford Field","Rosa LinnKhalid","70,372","70,372","$7,126,417"
"22 July","Nashville","United States","Nissan Stadium","KhalidCat Burns","73,874","73,874","$6,227,586"
"29 July","Chicago","United States","Soldier Field","KhalidCat Burns","73,015","73,015","$8,054,888"
"5 August","Kansas City","United States","GEHA Field at Arrowhead Stadium","KhalidCat Burns","70,352","70,352","$5,122,007"
"12 August","Minneapolis","United States","U.S. Bank Stadium","KhalidCat Burns","72,102","72,102","$6,714,462"
"19 August","Denver","United States","Empower Field at Mile High","KhalidCat Burns","79,680","79,680","$8,560,475"
"26 August","Seattle","United States","Lumen Field","KhalidMaisie Peters","77,286","77,286","$7,942,459"
"2 September","Vancouver","Canada","BC Place","KhalidMaisie Peters","65,061","65,061","$6,597,928"
"16 September","Santa Clara","United States","Levi's Stadium","RussMaisie Peters","—",NA,"—"
"23 September","Inglewood","United States","SoFi Stadium","RussMaisie Peters","—",NA,"—"
"28 October[c]","Paradise","United States","Allegiant Stadium","RussMaisie Peters","—",NA,"—"
"Total","Total","Total","Total","Total","5,164,946","5,376,580 (96%)","$460,653,591"
