Date,City,Country,Venue,Opening act 1,Opening act 2,Opening act 3,Attendance,Capacity,Revenue,Leg
23/04/2022,Dublin,Ireland,Croke Park,Maisie Peters,Denise Chaila,,"160,000","160,000",12398154.00,Europe
24/04/2022,Dublin,Ireland,Croke Park,Maisie Peters,Denise Chaila,,"160,000","160,000",12398154.00,Europe
28/04/2022,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters,Denise Chaila,,"80,000","80,000",5803983.00,Europe
29/04/2022,Cork,Ireland,Páirc Uí Chaoimh,Maisie Peters,Denise Chaila,,"80,000","80,000",5803983.00,Europe
5/05/2022,Limerick,Ireland,Thomond Park,Maisie Peters,Denise Chaila,,"61,780","63,234",5210048.00,Europe
6/05/2022,Limerick,Ireland,Thomond Park,Maisie Peters,Denise Chaila,,"61,780","63,234",5210048.00,Europe
12/05/2022,Belfast,Northern Ireland,Boucher Road Playing Fields,Maisie Peters,Denise Chaila,,"73,519","80,604",6281351.00,Europe
13/05/2022,Belfast,Northern Ireland,Boucher Road Playing Fields,Maisie Peters,Denise Chaila,,"73,519","80,604",6281351.00,Europe
26/05/2022,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","185,490",15059755.00,Europe
27/05/2022,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","185,490",15059755.00,Europe
28/05/2022,Cardiff,Wales,Principality Stadium,Maisie Peters,Dylan,,"185,490","185,490",15059755.00,Europe
3/06/2022,Sunderland,England,Stadium of Light,Maisie Peters,Dylan,,"106,641","106,641",8887711.00,Europe
4/06/2022,Sunderland,England,Stadium of Light,Maisie Peters,Dylan,,"106,641","106,641",8887711.00,Europe
9/06/2022,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639",17703371.00,Europe
10/06/2022,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639",17703371.00,Europe
11/06/2022,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639",17703371.00,Europe
12/06/2022,Manchester,England,Etihad Stadium,Maisie Peters,Dylan,,"218,639","218,639",17703371.00,Europe
16/06/2022,Glasgow,Scotland,Hampden Park,Maisie Peters,Dylan,,"93,344","93,344",7579774.00,Europe
17/06/2022,Glasgow,Scotland,Hampden Park,Maisie Peters,Dylan,,"93,344","93,344",7579774.00,Europe
24/06/2022,London,England,Wembley Stadium,Maisie Peters,Dylan,,"445,577","445,577",37035896.00,Europe
25/06/2022,London,England,Wembley Stadium,Maisie Peters,Dylan,,"445,577","445,577",37035896.00,Europe
29/06/2022,London,England,Wembley Stadium,Maisie Peters,Dylan,,"445,577","445,577",37035896.00,Europe
30/06/2022,London,England,Wembley Stadium,Maisie Peters,Dylan,,"445,577","445,577",37035896.00,Europe
1/07/2022,London,England,Wembley Stadium,Maisie Peters,Dylan,,"445,577","445,577",37035896.00,Europe
7/07/2022,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055",13653206.00,Europe
8/07/2022,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055",13653206.00,Europe
9/07/2022,Gelsenkirchen,Germany,Veltins-Arena,Maisie Peters,Cat Burns,,"182,476","193,055",13653206.00,Europe
14/07/2022,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters,Cat Burns,,"134,119","134,119",8611476.00,Europe
15/07/2022,Amsterdam,Netherlands,Johan Cruyff Arena,Maisie Peters,Cat Burns,,"134,119","134,119",8611476.00,Europe
22/07/2022,Brussels,Belgium,King Baudouin Stadium,Maisie Peters,Cat Burns,Dylan,"104,473","127,999",8273105.00,Europe
23/07/2022,Brussels,Belgium,King Baudouin Stadium,Maisie Peters,Cat Burns,Dylan,"104,473","127,999",8273105.00,Europe
29/07/2022,Saint-Denis,France,Stade de France,Maisie Peters,Cat Burns,,"166,764","166,764",10795324.00,Europe
30/07/2022,Saint-Denis,France,Stade de France,Maisie Peters,Cat Burns,,"166,764","166,764",10795324.00,Europe
3/08/2022,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819",14175774.00,Europe
4/08/2022,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819",14175774.00,Europe
5/08/2022,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Cat Burns,,"156,818","158,819",14175774.00,Europe
6/08/2022,Copenhagen,Denmark,Øresundsparken,Maisie Peters,Dylan,,"156,818","158,819",14175774.00,Europe
10/08/2022,Gothenburg,Sweden,Ullevi,Maisie Peters,Cat Burns,,"120,283","129,350",9558902.00,Europe
11/08/2022,Gothenburg,Sweden,Ullevi,Maisie Peters,Cat Burns,,"120,283","129,350",9558902.00,Europe
20/08/2022,Helsinki,Finland,Helsinki Olympic Stadium,Maisie Peters,Cat Burns,,"46,667","46,667",4229589.00,Europe
25/08/2022,Warsaw,Poland,PGE Narodowy,Maisie Peters,Cat Burns,,"146,340","146,340",9056295.00,Europe
26/08/2022,Warsaw,Poland,PGE Narodowy,Maisie Peters,Cat Burns,,"146,340","146,340",9056295.00,Europe
